2.083119525729333787e+01 2.555316835668200071e+01 3.067881399784785756e+01 3.619919390258338154e+01 4.210605563905518522e+01 4.839174885019949102e+01 5.504915376536678906e+01 6.207162043981303867e+01 6.945291704544368372e+01 7.718718569804065055e+01
1.920308763422192655e+01 2.356097282787656155e+01 2.829199670276554457e+01 3.338790340118877964e+01 3.884107814968835726e+01 4.464446775831835623e+01 5.079151310266939845e+01 5.727609193561568190e+01 6.409247034568035417e+01 7.123526137818356574e+01
1.794290360767245218e+01 2.201869298770474970e+01 2.644381979756531464e+01 3.121053397052428480e+01 3.631169411893502286e+01 4.174069095768203397e+01 4.749138256280127734e+01 5.355803971395977925e+01 5.993529961725693056e+01 6.661812653616327395e+01
1.693333840825332715e+01 2.078305433472268859e+01 2.496295351047257327e+01 2.946567610875165855e+01 3.428444665467858954e+01 3.941299950394144247e+01 4.484551610344684747e+01 5.057657218649331554e+01 5.660109317030923393e+01 6.291431628448378177e+01
1.610343144706652652e+01 1.976732205911728713e+01 2.374560433172872109e+01 2.803122824302739602e+01 3.261770940889350356e+01 3.749905602033057050e+01 4.266970757175997164e+01 4.812448343940107520e+01 5.385853954444159086e+01 5.986733162294581234e+01
1.540743826949899464e+01 1.891555370308578432e+01 2.272479332873306745e+01 2.682835829249156845e+01 3.122000074682991766e+01 3.589395181784608724e+01 4.084486141495707301e+01 4.606774785222305013e+01 5.155795547989656313e+01 5.731111883704900833e+01
1.481438492371816551e+01 1.818985558616172327e+01 2.185513410184350391e+01 2.580362848076095261e+01 3.002928618544215311e+01 3.452652280840835886e+01 3.929016267395942918e+01 4.431538924673091628e+01 4.959770350796773641e+01 5.513288879541322274e+01
1.430246181254165094e+01 1.756353792299112726e+01 2.110465036746651890e+01 2.491937957292511285e+01 2.900183625212792649e+01 3.334659054610590800e+01 3.794861319500122931e+01 4.280322653618200945e+01 4.790606345172982827e+01 5.325303274421898436e+01
1.385581420588860624e+01 1.701719383782967299e+01 2.045008609034934821e+01 2.414821638781375057e+01 2.810583316951634814e+01 3.231763730455242012e+01 3.677872365560726564e+01 4.148453251001908626e+01 4.643080896089563225e+01 5.161356869833135619e+01
1.346260638443279412e+01 1.653633326575908313e+01 1.987407414469437938e+01 2.346967718384265922e+01 2.731750782563526414e+01 3.141237832538866570e+01 3.574948956616273676e+01 4.032438279622562760e+01 4.513289933241445340e+01 5.017114666915062315e+01
1.311380255997206490e+01 1.610989238611252006e+01 1.936335202722992577e+01 2.286813400896608073e+01 2.661870366717353775e+01 3.060996867335547478e+01 3.483722098443107740e+01 3.929608878260255267e+01 4.398249640913218883e+01 4.889263071069950684e+01
